Start Datetime             | End Datetime               | Duration       | Exe type
2024-02-12 14:44:05.726285 | 2024-02-12 14:44:09.864688 | 0:00:04.138403 | Manual
2024-02-12 14:52:13.026273 | 2024-02-12 14:52:15.726939 | 0:00:02.700666 | Manual
2024-02-12 15:15:10.950558 | 2024-02-12 15:15:17.309816 | 0:00:06.359258 | Manual
2024-02-15 17:53:26.931090 | 2024-02-15 17:53:36.028290 | 0:00:09.097200 | Manual
2024-02-15 17:55:53.436497 | 2024-02-15 17:55:58.045271 | 0:00:04.608774 | Manual
2024-02-15 17:57:43.616397 | 2024-02-15 17:57:51.500868 | 0:00:07.884471 | Manual
2024-02-16 05:36:43.057531 | 2024-02-16 06:48:12.480971 | 1:11:29.423440 | Auto  
2024-02-16 07:25:32.932445 | 2024-02-16 07:25:45.616227 | 0:00:12.683782 | Manual
2024-02-16 13:21:53.452314 | 2024-02-16 13:22:00.086980 | 0:00:06.634666 | Manual
2024-02-16 13:30:35.911564 | 2024-02-16 13:31:10.030515 | 0:00:34.118951 | Manual
2024-02-16 13:31:34.077718 | 2024-02-16 13:31:39.115561 | 0:00:05.037843 | Manual
2024-02-16 13:32:02.493033 | 2024-02-16 13:32:04.855069 | 0:00:02.362036 | Manual
2024-02-16 13:39:19.699638 | 2024-02-16 13:39:29.485962 | 0:00:09.786324 | Manual
2024-02-16 13:43:34.758019 | 2024-02-16 13:43:38.751665 | 0:00:03.993646 | Manual
2024-02-16 14:38:31.280450 | 2024-02-16 14:38:34.361346 | 0:00:03.080896 | Manual
2024-02-16 14:31:13.234127 | 2024-02-16 14:41:07.775799 | 0:09:54.541672 | Manual
2024-02-16 16:41:33.681007 | 2024-02-16 17:51:02.052494 | 1:09:28.371487 | Manual
